          WD01/DL07 grain model for R_V=3.1, q_PAH=0.046
 2.000E-03 = a1 (um)
 2.000E-02 = a2 (um)
                              sigma_ext (um^2/H)
           --------- carbon -----------  -------- silicate ----------
lambda      a<a1     a1<a<a2    a2<a      a<a1     a1<a<a2    a2<a 
 (um)     (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H) 
1.754E-01 1.998E-14 8.111E-15 2.010E-14 2.140E-16 2.573E-15 6.991E-14
1.770E-01 2.043E-14 8.366E-15 2.031E-14 1.986E-16 2.393E-15 6.955E-14
1.786E-01 2.094E-14 8.645E-15 2.054E-14 1.843E-16 2.227E-15 6.917E-14
1.803E-01 2.149E-14 8.951E-15 2.078E-14 1.713E-16 2.074E-15 6.874E-14
1.820E-01 2.211E-14 9.290E-15 2.103E-14 1.593E-16 1.934E-15 6.830E-14
1.837E-01 2.280E-14 9.661E-15 2.130E-14 1.483E-16 1.805E-15 6.786E-14
1.854E-01 2.356E-14 1.007E-14 2.158E-14 1.381E-16 1.686E-15 6.749E-14
1.871E-01 2.441E-14 1.052E-14 2.188E-14 1.288E-16 1.576E-15 6.716E-14
1.888E-01 2.535E-14 1.101E-14 2.219E-14 1.204E-16 1.476E-15 6.678E-14
1.905E-01 2.640E-14 1.156E-14 2.252E-14 1.125E-16 1.382E-15 6.632E-14
1.923E-01 2.755E-14 1.215E-14 2.286E-14 1.048E-16 1.293E-15 6.583E-14
1.941E-01 2.882E-14 1.278E-14 2.321E-14 9.771E-17 1.210E-15 6.533E-14
1.959E-01 3.021E-14 1.347E-14 2.358E-14 9.116E-17 1.133E-15 6.491E-14
1.977E-01 3.172E-14 1.420E-14 2.397E-14 8.515E-17 1.062E-15 6.464E-14
1.995E-01 3.334E-14 1.497E-14 2.437E-14 7.966E-17 9.970E-16 6.438E-14
2.014E-01 3.506E-14 1.576E-14 2.478E-14 7.464E-17 9.370E-16 6.397E-14
2.032E-01 3.684E-14 1.655E-14 2.520E-14 7.009E-17 8.820E-16 6.344E-14
2.051E-01 3.866E-14 1.734E-14 2.563E-14 6.599E-17 8.319E-16 6.288E-14
2.070E-01 4.044E-14 1.809E-14 2.605E-14 6.235E-17 7.864E-16 6.235E-14
2.089E-01 4.212E-14 1.876E-14 2.648E-14 5.913E-17 7.453E-16 6.195E-14
2.109E-01 4.359E-14 1.934E-14 2.691E-14 5.627E-17 7.081E-16 6.176E-14
2.128E-01 4.478E-14 1.978E-14 2.734E-14 5.370E-17 6.743E-16 6.155E-14
2.148E-01 4.559E-14 2.004E-14 2.777E-14 5.146E-17 6.437E-16 6.109E-14
2.168E-01 4.596E-14 2.009E-14 2.820E-14 4.952E-17 6.162E-16 6.052E-14
2.188E-01 4.584E-14 1.989E-14 2.855E-14 4.785E-17 5.918E-16 5.994E-14
2.208E-01 4.525E-14 1.945E-14 2.881E-14 4.645E-17 5.700E-16 5.940E-14
2.228E-01 4.424E-14 1.884E-14 2.898E-14 4.533E-17 5.510E-16 5.898E-14
2.249E-01 4.287E-14 1.811E-14 2.909E-14 4.445E-17 5.345E-16 5.873E-14
2.270E-01 4.124E-14 1.732E-14 2.918E-14 4.381E-17 5.205E-16 5.856E-14
