               WD01/DL07 grain model for R_V=3.1, q_PAH=0.046
 2.000E-03 = a1 (um)
 2.000E-02 = a2 (um)
                              sigma_abs (um^2/H)
           --------- carbon -----------  -------- silicate ----------
lambda      a<a1     a1<a<a2    a2<a      a<a1     a1<a<a2    a2<a 
 (um)     (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H) 
1.754E-01 1.998E-14 7.989E-15 1.113E-14 2.139E-16 1.869E-15 2.610E-14
1.770E-01 2.043E-14 8.238E-15 1.118E-14 1.985E-16 1.726E-15 2.523E-14
1.786E-01 2.094E-14 8.511E-15 1.123E-14 1.843E-16 1.595E-15 2.433E-14
1.803E-01 2.149E-14 8.810E-15 1.128E-14 1.712E-16 1.475E-15 2.343E-14
1.820E-01 2.211E-14 9.140E-15 1.134E-14 1.593E-16 1.366E-15 2.254E-14
1.837E-01 2.280E-14 9.502E-15 1.140E-14 1.482E-16 1.266E-15 2.168E-14
1.854E-01 2.356E-14 9.899E-15 1.148E-14 1.381E-16 1.174E-15 2.085E-14
1.871E-01 2.441E-14 1.034E-14 1.156E-14 1.288E-16 1.091E-15 2.004E-14
1.888E-01 2.535E-14 1.082E-14 1.166E-14 1.203E-16 1.015E-15 1.922E-14
1.905E-01 2.640E-14 1.134E-14 1.176E-14 1.124E-16 9.450E-16 1.839E-14
1.923E-01 2.755E-14 1.191E-14 1.190E-14 1.048E-16 8.774E-16 1.755E-14
1.941E-01 2.882E-14 1.253E-14 1.204E-14 9.766E-17 8.150E-16 1.675E-14
1.959E-01 3.021E-14 1.320E-14 1.220E-14 9.112E-17 7.577E-16 1.600E-14
1.977E-01 3.172E-14 1.390E-14 1.237E-14 8.510E-17 7.054E-16 1.531E-14
1.995E-01 3.334E-14 1.464E-14 1.255E-14 7.962E-17 6.578E-16 1.464E-14
2.014E-01 3.505E-14 1.541E-14 1.274E-14 7.460E-17 6.144E-16 1.392E-14
2.032E-01 3.684E-14 1.618E-14 1.293E-14 7.005E-17 5.751E-16 1.321E-14
2.051E-01 3.866E-14 1.694E-14 1.312E-14 6.596E-17 5.399E-16 1.259E-14
2.070E-01 4.044E-14 1.766E-14 1.332E-14 6.231E-17 5.086E-16 1.204E-14
2.089E-01 4.212E-14 1.831E-14 1.350E-14 5.909E-17 4.809E-16 1.156E-14
2.109E-01 4.359E-14 1.886E-14 1.368E-14 5.623E-17 4.564E-16 1.118E-14
2.128E-01 4.478E-14 1.927E-14 1.384E-14 5.367E-17 4.344E-16 1.081E-14
2.148E-01 4.559E-14 1.951E-14 1.399E-14 5.143E-17 4.153E-16 1.035E-14
2.168E-01 4.595E-14 1.955E-14 1.411E-14 4.949E-17 3.986E-16 9.932E-15
2.188E-01 4.584E-14 1.934E-14 1.420E-14 4.783E-17 3.843E-16 9.600E-15
2.208E-01 4.525E-14 1.891E-14 1.424E-14 4.642E-17 3.721E-16 9.332E-15
2.228E-01 4.424E-14 1.831E-14 1.425E-14 4.530E-17 3.623E-16 9.118E-15
2.249E-01 4.287E-14 1.760E-14 1.423E-14 4.442E-17 3.545E-16 8.988E-15
2.270E-01 4.124E-14 1.683E-14 1.420E-14 4.379E-17 3.487E-16 8.933E-15
2.291E-01 3.945E-14 1.602E-14 1.414E-14 4.332E-17 3.442E-16 8.784E-15
2.312E-01 3.757E-14 1.519E-14 1.406E-14 4.295E-17 3.406E-16 8.616E-15
2.333E-01 3.569E-14 1.435E-14 1.396E-14 4.264E-17 3.375E-16 8.486E-15
2.355E-01 3.384E-14 1.354E-14 1.383E-14 4.241E-17 3.350E-16 8.381E-15
2.377E-01 3.207E-14 1.275E-14 1.369E-14 4.225E-17 3.331E-16 8.308E-15
2.399E-01 3.041E-14 1.203E-14 1.355E-14 4.213E-17 3.317E-16 8.267E-15
2.421E-01 2.887E-14 1.136E-14 1.341E-14 4.222E-17 3.318E-16 8.295E-15
2.443E-01 2.745E-14 1.076E-14 1.328E-14 4.226E-17 3.316E-16 8.323E-15
2.466E-01 2.615E-14 1.022E-14 1.317E-14 4.224E-17 3.309E-16 8.269E-15
2.489E-01 2.496E-14 9.734E-15 1.307E-14 4.216E-17 3.297E-16 8.181E-15
2.512E-01 2.388E-14 9.296E-15 1.298E-14 4.200E-17 3.280E-16 8.091E-15
2.535E-01 2.290E-14 8.901E-15 1.290E-14 4.179E-17 3.258E-16 7.993E-15
2.559E-01 2.201E-14 8.544E-15 1.283E-14 4.155E-17 3.235E-16 7.903E-15
